Catalogue.Number,Material,Module,Teeth.Count,Pitch.Diameter..mm.,Bore Diameter (mm),Face.Width..cm.,Tooth.Finish,Heat.Treatment,Lewis.Form.Factor,set screw,keyway,Torque
SSA2.5-36J30,S45C,2.5,36,90,30,2.5,Standard,None,0.377,0,1,201.33
SSA2.5-36J32,S45C,2.5,36,90,32,2.5,Standard,None,0.377,0,1,201.33
SSA2.5-36J35,S45C,2.5,36,90,35,2.5,Standard,None,0.377,0,1,201.33
SSA2.5-36J40,S45C,2.5,36,90,40,2.5,Standard,None,0.377,0,1,201.33
SSA2.5-40J22,S45C,2.5,40,100,22,2.5,Standard,None,0.389,0,1,230.36
SSA2.5-40J25,S45C,2.5,40,100,25,2.5,Standard,None,0.389,0,1,230.36
SSA2.5-40J28,S45C,2.5,40,100,28,2.5,Standard,None,0.389,0,1,230.36
SSA2.5-40J30,S45C,2.5,40,100,30,2.5,Standard,None,0.389,0,1,230.36
SSA2.5-40J32,S45C,2.5,40,100,32,2.5,Standard,None,0.389,0,1,230.36
SSA2.5-40J35,S45C,2.5,40,100,35,2.5,Standard,None,0.389,0,1,230.36
SSA2.5-40J40,S45C,2.5,40,100,40,2.5,Standard,None,0.389,0,1,230.36
SSA2.5-40J45,S45C,2.5,40,100,45,2.5,Standard,None,0.389,0,1,230.36
SSA2.5-45J22,S45C,2.5,45,112.5,22,2.5,Standard,None,0.399,0,1,266.94
SSA2.5-45J25,S45C,2.5,45,112.5,25,2.5,Standard,None,0.399,0,1,266.94
SSA2.5-45J28,S45C,2.5,45,112.5,28,2.5,Standard,None,0.399,0,1,266.94
SSA2.5-45J30,S45C,2.5,45,112.5,30,2.5,Standard,None,0.399,0,1,266.94
SSA2.5-45J32,S45C,2.5,45,112.5,32,2.5,Standard,None,0.399,0,1,266.94
SSA2.5-45J35,S45C,2.5,45,112.5,35,2.5,Standard,None,0.399,0,1,266.94
SSA2.5-45J40,S45C,2.5,45,112.5,40,2.5,Standard,None,0.399,0,1,266.94
SSA2.5-45J45,S45C,2.5,45,112.5,45,2.5,Standard,None,0.399,0,1,266.94
SSA2.5-45J50,S45C,2.5,45,112.5,50,2.5,Standard,None,0.399,0,1,266.94
SSA2.5-48J22,S45C,2.5,48,120,22,2.5,Standard,None,0.399,0,1,289.1
SSA2.5-48J25,S45C,2.5,48,120,25,2.5,Standard,None,0.399,0,1,289.1
SSA2.5-48J28,S45C,2.5,48,120,28,2.5,Standard,None,0.399,0,1,289.1
SSA2.5-48J30,S45C,2.5,48,120,30,2.5,Standard,None,0.399,0,1,289.1
SSA2.5-48J32,S45C,2.5,48,120,32,2.5,Standard,None,0.399,0,1,289.1
SSA2.5-48J35,S45C,2.5,48,120,35,2.5,Standard,None,0.399,0,1,289.1
SSA2.5-48J40,S45C,2.5,48,120,40,2.5,Standard,None,0.399,0,1,289.1
SSA2.5-48J45,S45C,2.5,48,120,45,2.5,Standard,None,0.399,0,1,289.1
SSA2.5-48J50,S45C,2.5,48,120,50,2.5,Standard,None,0.399,0,1,289.1
SSA2.5-50J22,S45C,2.5,50,125,22,2.5,Standard,None,0.408,0,1,303.91
SSA2.5-50J25,S45C,2.5,50,125,25,2.5,Standard,None,0.408,0,1,303.91
SSA2.5-50J28,S45C,2.5,50,125,28,2.5,Standard,None,0.408,0,1,303.91
SSA2.5-50J30,S45C,2.5,50,125,30,2.5,Standard,None,0.408,0,1,303.91
SSA2.5-50J32,S45C,2.5,50,125,32,2.5,Standard,None,0.408,0,1,303.91
SSA2.5-50J35,S45C,2.5,50,125,35,2.5,Standard,None,0.408,0,1,303.91
SSA2.5-50J40,S45C,2.5,50,125,40,2.5,Standard,None,0.408,0,1,303.91
SSA2.5-50J45,S45C,2.5,50,125,45,2.5,Standard,None,0.408,0,1,303.91
SSA2.5-50J50,S45C,2.5,50,125,50,2.5,Standard,None,0.408,0,1,303.91
SSA2.5-55J22,S45C,2.5,55,137.5,22,2.5,Standard,None,0.415,0,1,341.08
SSA2.5-55J25,S45C,2.5,55,137.5,25,2.5,Standard,None,0.415,0,1,341.08
SSA2.5-55J28,S45C,2.5,55,137.5,28,2.5,Standard,None,0.415,0,1,341.08
SSA2.5-55J30,S45C,2.5,55,137.5,30,2.5,Standard,None,0.415,0,1,341.08
SSA2.5-55J32,S45C,2.5,55,137.5,32,2.5,Standard,None,0.415,0,1,341.08
SSA2.5-55J35,S45C,2.5,55,137.5,35,2.5,Standard,None,0.415,0,1,341.08
SSA2.5-55J40,S45C,2.5,55,137.5,40,2.5,Standard,None,0.415,0,1,341.08
SSA2.5-55J45,S45C,2.5,55,137.5,45,2.5,Standard,None,0.415,0,1,341.08
SSA2.5-55J50,S45C,2.5,55,137.5,50,2.5,Standard,None,0.415,0,1,341.08
SSA2.5-56J22,S45C,2.5,56,140,22,2.5,Standard,None,0.415,0,1,348.63
SSA2.5-56J25,S45C,2.5,56,140,25,2.5,Standard,None,0.415,0,1,348.63
SSA2.5-56J28,S45C,2.5,56,140,28,2.5,Standard,None,0.415,0,1,348.63
SSA2.5-56J30,S45C,2.5,56,140,30,2.5,Standard,None,0.415,0,1,348.63
SSA2.5-56J32,S45C,2.5,56,140,32,2.5,Standard,None,0.415,0,1,348.63
SSA2.5-56J35,S45C,2.5,56,140,35,2.5,Standard,None,0.415,0,1,348.63
SSA2.5-56J40,S45C,2.5,56,140,40,2.5,Standard,None,0.415,0,1,348.63
SSA2.5-56J45,S45C,2.5,56,140,45,2.5,Standard,None,0.415,0,1,348.63
SSA2.5-56J50,S45C,2.5,56,140,50,2.5,Standard,None,0.415,0,1,348.63
SSA2.5-60J22,S45C,2.5,60,150,22,2.5,Standard,None,0.421,0,1,378.54
SSA2.5-60J25,S45C,2.5,60,150,25,2.5,Standard,None,0.421,0,1,378.54
SSA2.5-60J28,S45C,2.5,60,150,28,2.5,Standard,None,0.421,0,1,378.54
SSA2.5-60J30,S45C,2.5,60,150,30,2.5,Standard,None,0.421,0,1,378.54
SSA2.5-60J32,S45C,2.5,60,150,32,2.5,Standard,None,0.421,0,1,378.54
SSA2.5-60J35,S45C,2.5,60,150,35,2.5,Standard,None,0.421,0,1,378.54
SSA2.5-60J40,S45C,2.5,60,150,40,2.5,Standard,None,0.421,0,1,378.54
SSA2.5-70J22,S45C,2.5,70,175,22,2.5,Standard,None,0.429,0,1,453.85
SSA2.5-70J25,S45C,2.5,70,175,25,2.5,Standard,None,0.429,0,1,453.85
SSA2.5-70J28,S45C,2.5,70,175,28,2.5,Standard,None,0.429,0,1,453.85
SSA2.5-70J30,S45C,2.5,70,175,30,2.5,Standard,None,0.429,0,1,453.85
SSA2.5-70J32,S45C,2.5,70,175,32,2.5,Standard,None,0.429,0,1,453.85
SSA2.5-70J35,S45C,2.5,70,175,35,2.5,Standard,None,0.429,0,1,453.85
SSA2.5-70J40,S45C,2.5,70,175,40,2.5,Standard,None,0.429,0,1,453.85
SSA2.5-70J45,S45C,2.5,70,175,45,2.5,Standard,None,0.429,0,1,
SSA3-15J12,S45C,3,15,45,12,3,Standard,None,0.289,0,1,99.73
SSA3-15J14,S45C,3,15,45,14,3,Standard,None,0.289,0,1,99.73
SSA3-15J15,S45C,3,15,45,15,3,Standard,None,0.289,0,1,99.73
SSA3-15J16,S45C,3,15,45,16,3,Standard,None,0.289,0,1,
