Catalogue Link,Material,Module,Teeth Count,Pitch Diameter (mm),Bore Diameter (mm),Tooth Finish,Heat Treatment
SS1.5-76J19,S45C,1.5,76,114,19 keyway&screw hole,Standard,None
SS1.5-76J20,S45C,1.5,76,114,20 keyway&screw hole,Standard,None
SS1.5-76J22,S45C,1.5,76,114,22 keyway&screw hole,Standard,None
SS1.5-76J25,S45C,1.5,76,114,25 keyway&screw hole,Standard,None
SS1.5-76J28,S45C,1.5,76,114,28 keyway&screw hole,Standard,None
SS1.5-76J30,S45C,1.5,76,114,30 keyway&screw hole,Standard,None
SS1.5-76J32,S45C,1.5,76,114,32 keyway&screw hole,Standard,None
SS1.5-76J35,S45C,1.5,76,114,35 keyway&screw hole,Standard,None
SS1.5-80J15,S45C,1.5,80,120,15 keyway&screw hole,Standard,None
SS1.5-80J16,S45C,1.5,80,120,16 keyway&screw hole,Standard,None
SS1.5-80J17,S45C,1.5,80,120,17 keyway&screw hole,Standard,None
SS1.5-80J18,S45C,1.5,80,120,18 keyway&screw hole,Standard,None
SS1.5-80J19,S45C,1.5,80,120,19 keyway&screw hole,Standard,None
SS1.5-80J20,S45C,1.5,80,120,20 keyway&screw hole,Standard,None
SS1.5-80J22,S45C,1.5,80,120,22 keyway&screw hole,Standard,None
SS1.5-80J25,S45C,1.5,80,120,25 keyway&screw hole,Standard,None
SS1.5-80J28,S45C,1.5,80,120,28 keyway&screw hole,Standard,None
SS1.5-80J30,S45C,1.5,80,120,30 keyway&screw hole,Standard,None
SS1.5-80J32,S45C,1.5,80,120,32 keyway&screw hole,Standard,None
SS1.5-80J35,S45C,1.5,80,120,35 keyway&screw hole,Standard,None
SS1.5-84J15,S45C,1.5,84,126,15 keyway&screw hole,Standard,None
SS1.5-84J16,S45C,1.5,84,126,16 keyway&screw hole,Standard,None
SS1.5-84J17,S45C,1.5,84,126,17 keyway&screw hole,Standard,None
SS1.5-84J18,S45C,1.5,84,126,18 keyway&screw hole,Standard,None
SS1.5-84J19,S45C,1.5,84,126,19 keyway&screw hole,Standard,None
SS1.5-84J20,S45C,1.5,84,126,20 keyway&screw hole,Standard,None
SS1.5-84J22,S45C,1.5,84,126,22 keyway&screw hole,Standard,None
SS1.5-84J25,S45C,1.5,84,126,25 keyway&screw hole,Standard,None
SS1.5-84J28,S45C,1.5,84,126,28 keyway&screw hole,Standard,None
SS1.5-84J30,S45C,1.5,84,126,30 keyway&screw hole,Standard,None
SS1.5-84J32,S45C,1.5,84,126,32 keyway&screw hole,Standard,None
SS1.5-84J35,S45C,1.5,84,126,35 keyway&screw hole,Standard,None
SS1.5-85J15,S45C,1.5,85,127.5,15 keyway&screw hole,Standard,None
SS1.5-85J16,S45C,1.5,85,127.5,16 keyway&screw hole,Standard,None
SS1.5-85J17,S45C,1.5,85,127.5,17 keyway&screw hole,Standard,None
SS1.5-85J18,S45C,1.5,85,127.5,18 keyway&screw hole,Standard,None
SS1.5-85J19,S45C,1.5,85,127.5,19 keyway&screw hole,Standard,None
SS1.5-85J20,S45C,1.5,85,127.5,20 keyway&screw hole,Standard,None
SS1.5-85J22,S45C,1.5,85,127.5,22 keyway&screw hole,Standard,None
SS1.5-85J25,S45C,1.5,85,127.5,25 keyway&screw hole,Standard,None
SS1.5-85J28,S45C,1.5,85,127.5,28 keyway&screw hole,Standard,None
SS1.5-85J30,S45C,1.5,85,127.5,30 keyway&screw hole,Standard,None
SS1.5-85J32,S45C,1.5,85,127.5,32 keyway&screw hole,Standard,None
SS1.5-85J35,S45C,1.5,85,127.5,35 keyway&screw hole,Standard,None
SS1.5-88J15,S45C,1.5,88,132,15 keyway&screw hole,Standard,None
SS1.5-88J16,S45C,1.5,88,132,16 keyway&screw hole,Standard,None
SS1.5-88J17,S45C,1.5,88,132,17 keyway&screw hole,Standard,None
SS1.5-88J18,S45C,1.5,88,132,18 keyway&screw hole,Standard,None
SS1.5-88J19,S45C,1.5,88,132,19 keyway&screw hole,Standard,None
SS1.5-88J20,S45C,1.5,88,132,20 keyway&screw hole,Standard,None
SS1.5-88J22,S45C,1.5,88,132,22 keyway&screw hole,Standard,None
SS1.5-88J25,S45C,1.5,88,132,25 keyway&screw hole,Standard,None
SS1.5-88J28,S45C,1.5,88,132,28 keyway&screw hole,Standard,None
SS1.5-88J30,S45C,1.5,88,132,30 keyway&screw hole,Standard,None
SS1.5-88J32,S45C,1.5,88,132,32 keyway&screw hole,Standard,None
SS1.5-88J35,S45C,1.5,88,132,35 keyway&screw hole,Standard,None
SS1.5-90J15,S45C,1.5,90,135,15 keyway&screw hole,Standard,None
SS1.5-90J16,S45C,1.5,90,135,16 keyway&screw hole,Standard,None
SS1.5-90J17,S45C,1.5,90,135,17 keyway&screw hole,Standard,None
SS1.5-90J18,S45C,1.5,90,135,18 keyway&screw hole,Standard,None
SS1.5-90J19,S45C,1.5,90,135,19 keyway&screw hole,Standard,None
SS1.5-90J20,S45C,1.5,90,135,20 keyway&screw hole,Standard,None
SS1.5-90J22,S45C,1.5,90,135,22 keyway&screw hole,Standard,None
SS1.5-90J25,S45C,1.5,90,135,25 keyway&screw hole,Standard,None
SS1.5-90J28,S45C,1.5,90,135,28 keyway&screw hole,Standard,None
SS1.5-90J30,S45C,1.5,90,135,30 keyway&screw hole,Standard,None
SS1.5-90J32,S45C,1.5,90,135,32 keyway&screw hole,Standard,None
SS1.5-90J35,S45C,1.5,90,135,35 keyway&screw hole,Standard,None
SS1.5-95J15,S45C,1.5,95,142.5,15 keyway&screw hole,Standard,None
SS1.5-95J16,S45C,1.5,95,142.5,16 keyway&screw hole,Standard,None
SS1.5-95J17,S45C,1.5,95,142.5,17 keyway&screw hole,Standard,None
SS1.5-95J18,S45C,1.5,95,142.5,18 keyway&screw hole,Standard,None
SS1.5-95J19,S45C,1.5,95,142.5,19 keyway&screw hole,Standard,None
SS1.5-95J20,S45C,1.5,95,142.5,20 keyway&screw hole,Standard,None
SS1.5-95J22,S45C,1.5,95,142.5,22 keyway&screw hole,Standard,None
SS1.5-95J25,S45C,1.5,95,142.5,25 keyway&screw hole,Standard,None
SS1.5-95J28,S45C,1.5,95,142.5,28 keyway&screw hole,Standard,None
SS1.5-95J30,S45C,1.5,95,142.5,30 keyway&screw hole,Standard,None
SS1.5-95J32,S45C,1.5,95,142.5,32 keyway&screw hole,Standard,None
