Catalogue Link,Material,Module,Teeth Count,Pitch Diameter (mm),Bore Diameter (mm),Tooth Finish,Heat Treatment
SS2.5-20J15,S45C,2.5,20,50,15 keyway&screw hole,Standard,None
SS2.5-20J16,S45C,2.5,20,50,16 keyway&screw hole,Standard,None
SS2.5-20J17,S45C,2.5,20,50,17 keyway&screw hole,Standard,None
SS2.5-20J18,S45C,2.5,20,50,18 keyway&screw hole,Standard,None
SS2.5-20J19,S45C,2.5,20,50,19 keyway&screw hole,Standard,None
SS2.5-20J20,S45C,2.5,20,50,20 keyway&screw hole,Standard,None
SS2.5-20J22,S45C,2.5,20,50,22 keyway&screw hole,Standard,None
SS2.5-21J15,S45C,2.5,21,52.5,15 keyway&screw hole,Standard,None
SS2.5-21J16,S45C,2.5,21,52.5,16 keyway&screw hole,Standard,None
SS2.5-21J17,S45C,2.5,21,52.5,17 keyway&screw hole,Standard,None
SS2.5-21J18,S45C,2.5,21,52.5,18 keyway&screw hole,Standard,None
SS2.5-21J19,S45C,2.5,21,52.5,19 keyway&screw hole,Standard,None
SS2.5-21J20,S45C,2.5,21,52.5,20 keyway&screw hole,Standard,None
SS2.5-21J22,S45C,2.5,21,52.5,22 keyway&screw hole,Standard,None
SS2.5-21J25,S45C,2.5,21,52.5,25 keyway&screw hole,Standard,None
SS2.5-22J15,S45C,2.5,22,55,15 keyway&screw hole,Standard,None
SS2.5-22J16,S45C,2.5,22,55,16 keyway&screw hole,Standard,None
SS2.5-22J17,S45C,2.5,22,55,17 keyway&screw hole,Standard,None
SS2.5-22J18,S45C,2.5,22,55,18 keyway&screw hole,Standard,None
SS2.5-22J19,S45C,2.5,22,55,19 keyway&screw hole,Standard,None
SS2.5-22J20,S45C,2.5,22,55,20 keyway&screw hole,Standard,None
SS2.5-22J22,S45C,2.5,22,55,22 keyway&screw hole,Standard,None
SS2.5-22J25,S45C,2.5,22,55,25 keyway&screw hole,Standard,None
SS2.5-23J15,S45C,2.5,23,57.5,15 keyway&screw hole,Standard,None
SS2.5-23J16,S45C,2.5,23,57.5,16 keyway&screw hole,Standard,None
SS2.5-23J17,S45C,2.5,23,57.5,17 keyway&screw hole,Standard,None
SS2.5-23J18,S45C,2.5,23,57.5,18 keyway&screw hole,Standard,None
SS2.5-23J19,S45C,2.5,23,57.5,19 keyway&screw hole,Standard,None
SS2.5-23J20,S45C,2.5,23,57.5,20 keyway&screw hole,Standard,None
SS2.5-23J22,S45C,2.5,23,57.5,22 keyway&screw hole,Standard,None
SS2.5-23J25,S45C,2.5,23,57.5,25 keyway&screw hole,Standard,None
SS2.5-24J15,S45C,2.5,24,60,15 keyway&screw hole,Standard,None
SS2.5-24J16,S45C,2.5,24,60,16 keyway&screw hole,Standard,None
SS2.5-24J17,S45C,2.5,24,60,17 keyway&screw hole,Standard,None
SS2.5-24J18,S45C,2.5,24,60,18 keyway&screw hole,Standard,None
SS2.5-24J19,S45C,2.5,24,60,19 keyway&screw hole,Standard,None
SS2.5-24J20,S45C,2.5,24,60,20 keyway&screw hole,Standard,None
SS2.5-24J22,S45C,2.5,24,60,22 keyway&screw hole,Standard,None
SS2.5-24J25,S45C,2.5,24,60,25 keyway&screw hole,Standard,None
SS2.5-24J28,S45C,2.5,24,60,28 keyway&screw hole,Standard,None
SS2.5-25J15,S45C,2.5,25,62.5,15 keyway&screw hole,Standard,None
SS2.5-25J16,S45C,2.5,25,62.5,16 keyway&screw hole,Standard,None
SS2.5-25J17,S45C,2.5,25,62.5,17 keyway&screw hole,Standard,None
SS2.5-25J18,S45C,2.5,25,62.5,18 keyway&screw hole,Standard,None
SS2.5-25J19,S45C,2.5,25,62.5,19 keyway&screw hole,Standard,None
SS2.5-25J20,S45C,2.5,25,62.5,20 keyway&screw hole,Standard,None
SS2.5-25J22,S45C,2.5,25,62.5,22 keyway&screw hole,Standard,None
SS2.5-25J25,S45C,2.5,25,62.5,25 keyway&screw hole,Standard,None
SS2.5-25J28,S45C,2.5,25,62.5,28 keyway&screw hole,Standard,None
SS2.5-25J30,S45C,2.5,25,62.5,30 keyway&screw hole,Standard,None
SS2.5-26J15,S45C,2.5,26,65,15 keyway&screw hole,Standard,None
SS2.5-26J16,S45C,2.5,26,65,16 keyway&screw hole,Standard,None
SS2.5-26J17,S45C,2.5,26,65,17 keyway&screw hole,Standard,None
SS2.5-26J18,S45C,2.5,26,65,18 keyway&screw hole,Standard,None
SS2.5-26J19,S45C,2.5,26,65,19 keyway&screw hole,Standard,None
SS2.5-26J20,S45C,2.5,26,65,20 keyway&screw hole,Standard,None
SS2.5-26J22,S45C,2.5,26,65,22 keyway&screw hole,Standard,None
SS2.5-26J25,S45C,2.5,26,65,25 keyway&screw hole,Standard,None
SS2.5-26J28,S45C,2.5,26,65,28 keyway&screw hole,Standard,None
SS2.5-26J30,S45C,2.5,26,65,30 keyway&screw hole,Standard,None
SS2.5-26J32,S45C,2.5,26,65,32 keyway&screw hole,Standard,None
SS2.5-27J15,S45C,2.5,27,67.5,15 keyway&screw hole,Standard,None
SS2.5-27J16,S45C,2.5,27,67.5,16 keyway&screw hole,Standard,None
SS2.5-27J17,S45C,2.5,27,67.5,17 keyway&screw hole,Standard,None
SS2.5-27J18,S45C,2.5,27,67.5,18 keyway&screw hole,Standard,None
SS2.5-27J19,S45C,2.5,27,67.5,19 keyway&screw hole,Standard,None
SS2.5-27J20,S45C,2.5,27,67.5,20 keyway&screw hole,Standard,None
SS2.5-27J22,S45C,2.5,27,67.5,22 keyway&screw hole,Standard,None
SS2.5-27J25,S45C,2.5,27,67.5,25 keyway&screw hole,Standard,None
SS2.5-27J28,S45C,2.5,27,67.5,28 keyway&screw hole,Standard,None
SS2.5-27J30,S45C,2.5,27,67.5,30 keyway&screw hole,Standard,None
SS2.5-27J32,S45C,2.5,27,67.5,32 keyway&screw hole,Standard,None
SS2.5-27J35,S45C,2.5,27,67.5,35 keyway&screw hole,Standard,None
SS2.5-28J15,S45C,2.5,28,70,15 keyway&screw hole,Standard,None
SS2.5-28J16,S45C,2.5,28,70,16 keyway&screw hole,Standard,None
SS2.5-28J17,S45C,2.5,28,70,17 keyway&screw hole,Standard,None
SS2.5-28J18,S45C,2.5,28,70,18 keyway&screw hole,Standard,None
SS2.5-28J19,S45C,2.5,28,70,19 keyway&screw hole,Standard,None
SS2.5-28J20,S45C,2.5,28,70,20 keyway&screw hole,Standard,None
SS2.5-28J22,S45C,2.5,28,70,22 keyway&screw hole,Standard,None
SS2.5-28J25,S45C,2.5,28,70,25 keyway&screw hole,Standard,None
SS2.5-28J28,S45C,2.5,28,70,28 keyway&screw hole,Standard,None
SS2.5-28J30,S45C,2.5,28,70,30 keyway&screw hole,Standard,None
SS2.5-28J32,S45C,2.5,28,70,32 keyway&screw hole,Standard,None
SS2.5-28J35,S45C,2.5,28,70,35 keyway&screw hole,Standard,None
SS2.5-29J15,S45C,2.5,29,72.5,15 keyway&screw hole,Standard,None
SS2.5-29J16,S45C,2.5,29,72.5,16 keyway&screw hole,Standard,None
SS2.5-29J17,S45C,2.5,29,72.5,17 keyway&screw hole,Standard,None
SS2.5-29J18,S45C,2.5,29,72.5,18 keyway&screw hole,Standard,None
SS2.5-29J19,S45C,2.5,29,72.5,19 keyway&screw hole,Standard,None
SS2.5-29J20,S45C,2.5,29,72.5,20 keyway&screw hole,Standard,None
SS2.5-29J22,S45C,2.5,29,72.5,22 keyway&screw hole,Standard,None
SS2.5-29J25,S45C,2.5,29,72.5,25 keyway&screw hole,Standard,None
SS2.5-29J28,S45C,2.5,29,72.5,28 keyway&screw hole,Standard,None
SS2.5-29J30,S45C,2.5,29,72.5,30 keyway&screw hole,Standard,None
SS2.5-29J32,S45C,2.5,29,72.5,32 keyway&screw hole,Standard,None
SS2.5-29J35,S45C,2.5,29,72.5,35 keyway&screw hole,Standard,None
SS2.5-30J15,S45C,2.5,30,75,15 keyway&screw hole,Standard,None
SS2.5-30J16,S45C,2.5,30,75,16 keyway&screw hole,Standard,None
SS2.5-30J17,S45C,2.5,30,75,17 keyway&screw hole,Standard,None
SS2.5-30J18,S45C,2.5,30,75,18 keyway&screw hole,Standard,None
SS2.5-30J19,S45C,2.5,30,75,19 keyway&screw hole,Standard,None
SS2.5-30J20,S45C,2.5,30,75,20 keyway&screw hole,Standard,None
SS2.5-30J22,S45C,2.5,30,75,22 keyway&screw hole,Standard,None
SS2.5-30J25,S45C,2.5,30,75,25 keyway&screw hole,Standard,None
SS2.5-30J28,S45C,2.5,30,75,28 keyway&screw hole,Standard,None
SS2.5-30J30,S45C,2.5,30,75,30 keyway&screw hole,Standard,None
SS2.5-30J32,S45C,2.5,30,75,32 keyway&screw hole,Standard,None
SS2.5-30J35,S45C,2.5,30,75,35 keyway&screw hole,Standard,None
SS2.5-32J15,S45C,2.5,32,80,15 keyway&screw hole,Standard,None
SS2.5-32J16,S45C,2.5,32,80,16 keyway&screw hole,Standard,None
SS2.5-32J17,S45C,2.5,32,80,17 keyway&screw hole,Standard,None
SS2.5-32J18,S45C,2.5,32,80,18 keyway&screw hole,Standard,None
SS2.5-32J19,S45C,2.5,32,80,19 keyway&screw hole,Standard,None
SS2.5-32J20,S45C,2.5,32,80,20 keyway&screw hole,Standard,None
SS2.5-32J22,S45C,2.5,32,80,22 keyway&screw hole,Standard,None
SS2.5-32J25,S45C,2.5,32,80,25 keyway&screw hole,Standard,None
SS2.5-32J28,S45C,2.5,32,80,28 keyway&screw hole,Standard,None
SS2.5-32J30,S45C,2.5,32,80,30 keyway&screw hole,Standard,None
SS2.5-32J32,S45C,2.5,32,80,32 keyway&screw hole,Standard,None
SS2.5-32J35,S45C,2.5,32,80,35 keyway&screw hole,Standard,None
SS2.5-32J40,S45C,2.5,32,80,40 keyway&screw hole,Standard,None
SS2.5-34J15,S45C,2.5,34,85,15 keyway&screw hole,Standard,None
SS2.5-34J16,S45C,2.5,34,85,16 keyway&screw hole,Standard,None
SS2.5-34J17,S45C,2.5,34,85,17 keyway&screw hole,Standard,None
SS2.5-34J18,S45C,2.5,34,85,18 keyway&screw hole,Standard,None
SS2.5-34J19,S45C,2.5,34,85,19 keyway&screw hole,Standard,None
SS2.5-34J20,S45C,2.5,34,85,20 keyway&screw hole,Standard,None
SS2.5-34J22,S45C,2.5,34,85,22 keyway&screw hole,Standard,None
SS2.5-34J25,S45C,2.5,34,85,25 keyway&screw hole,Standard,None
SS2.5-34J28,S45C,2.5,34,85,28 keyway&screw hole,Standard,None
SS2.5-34J30,S45C,2.5,34,85,30 keyway&screw hole,Standard,None
SS2.5-34J32,S45C,2.5,34,85,32 keyway&screw hole,Standard,None
SS2.5-34J35,S45C,2.5,34,85,35 keyway&screw hole,Standard,None
SS2.5-34J40,S45C,2.5,34,85,40 keyway&screw hole,Standard,None
SS2.5-35J15,S45C,2.5,35,87.5,15 keyway&screw hole,Standard,None
SS2.5-35J16,S45C,2.5,35,87.5,16 keyway&screw hole,Standard,None
SS2.5-35J17,S45C,2.5,35,87.5,17 keyway&screw hole,Standard,None
SS2.5-35J18,S45C,2.5,35,87.5,18 keyway&screw hole,Standard,None
SS2.5-35J19,S45C,2.5,35,87.5,19 keyway&screw hole,Standard,None
SS2.5-35J20,S45C,2.5,35,87.5,20 keyway&screw hole,Standard,None
SS2.5-35J22,S45C,2.5,35,87.5,22 keyway&screw hole,Standard,None
SS2.5-35J25,S45C,2.5,35,87.5,25 keyway&screw hole,Standard,None
SS2.5-35J28,S45C,2.5,35,87.5,28 keyway&screw hole,Standard,None
SS2.5-35J30,S45C,2.5,35,87.5,30 keyway&screw hole,Standard,None
SS2.5-35J32,S45C,2.5,35,87.5,32 keyway&screw hole,Standard,None
SS2.5-35J35,S45C,2.5,35,87.5,35 keyway&screw hole,Standard,None
SS2.5-35J40,S45C,2.5,35,87.5,40 keyway&screw hole,Standard,None
SS2.5-36J15,S45C,2.5,36,90,15 keyway&screw hole,Standard,None
SS2.5-36J16,S45C,2.5,36,90,16 keyway&screw hole,Standard,None
SS2.5-36J17,S45C,2.5,36,90,17 keyway&screw hole,Standard,None
SS2.5-36J18,S45C,2.5,36,90,18 keyway&screw hole,Standard,None
SS2.5-36J19,S45C,2.5,36,90,19 keyway&screw hole,Standard,None
SS2.5-36J20,S45C,2.5,36,90,20 keyway&screw hole,Standard,None
SS2.5-36J22,S45C,2.5,36,90,22 keyway&screw hole,Standard,None
SS2.5-36J25,S45C,2.5,36,90,25 keyway&screw hole,Standard,None
SS2.5-36J28,S45C,2.5,36,90,28 keyway&screw hole,Standard,None
SS2.5-36J30,S45C,2.5,36,90,30 keyway&screw hole,Standard,None
SS2.5-36J32,S45C,2.5,36,90,32 keyway&screw hole,Standard,None
SS2.5-36J35,S45C,2.5,36,90,35 keyway&screw hole,Standard,None
SS2.5-36J40,S45C,2.5,36,90,40 keyway&screw hole,Standard,None
SS2.5-38J20,S45C,2.5,38,95,20 keyway&screw hole,Standard,None
SS2.5-38J22,S45C,2.5,38,95,22 keyway&screw hole,Standard,None
SS2.5-38J25,S45C,2.5,38,95,25 keyway&screw hole,Standard,None
SS2.5-38J28,S45C,2.5,38,95,28 keyway&screw hole,Standard,None
SS2.5-38J30,S45C,2.5,38,95,30 keyway&screw hole,Standard,None
SS2.5-38J32,S45C,2.5,38,95,32 keyway&screw hole,Standard,None
SS2.5-38J35,S45C,2.5,38,95,35 keyway&screw hole,Standard,None
SS2.5-38J40,S45C,2.5,38,95,40 keyway&screw hole,Standard,None
SS2.5-40J20,S45C,2.5,40,100,20 keyway&screw hole,Standard,None
SS2.5-40J22,S45C,2.5,40,100,22 keyway&screw hole,Standard,None
SS2.5-40J25,S45C,2.5,40,100,25 keyway&screw hole,Standard,None
SS2.5-40J28,S45C,2.5,40,100,28 keyway&screw hole,Standard,None
SS2.5-40J30,S45C,2.5,40,100,30 keyway&screw hole,Standard,None
SS2.5-40J32,S45C,2.5,40,100,32 keyway&screw hole,Standard,None
SS2.5-40J35,S45C,2.5,40,100,35 keyway&screw hole,Standard,None
SS2.5-40J40,S45C,2.5,40,100,40 keyway&screw hole,Standard,None
SS2.5-42J20,S45C,2.5,42,105,20 keyway&screw hole,Standard,None
SS2.5-42J22,S45C,2.5,42,105,22 keyway&screw hole,Standard,None
SS2.5-42J25,S45C,2.5,42,105,25 keyway&screw hole,Standard,None
SS2.5-42J28,S45C,2.5,42,105,28 keyway&screw hole,Standard,None
SS2.5-42J30,S45C,2.5,42,105,30 keyway&screw hole,Standard,None
SS2.5-42J32,S45C,2.5,42,105,32 keyway&screw hole,Standard,None
SS2.5-42J35,S45C,2.5,42,105,35 keyway&screw hole,Standard,None
SS2.5-42J40,S45C,2.5,42,105,40 keyway&screw hole,Standard,None
SS2.5-44J20,S45C,2.5,44,110,20 keyway&screw hole,Standard,None
SS2.5-44J22,S45C,2.5,44,110,22 keyway&screw hole,Standard,None
SS2.5-44J25,S45C,2.5,44,110,25 keyway&screw hole,Standard,None
SS2.5-44J28,S45C,2.5,44,110,28 keyway&screw hole,Standard,None
SS2.5-44J30,S45C,2.5,44,110,30 keyway&screw hole,Standard,None
SS2.5-44J32,S45C,2.5,44,110,32 keyway&screw hole,Standard,None
SS2.5-44J35,S45C,2.5,44,110,35 keyway&screw hole,Standard,None
SS2.5-44J40,S45C,2.5,44,110,40 keyway&screw hole,Standard,None
SS2.5-45J20,S45C,2.5,45,112.5,20 keyway&screw hole,Standard,None
SS2.5-45J22,S45C,2.5,45,112.5,22 keyway&screw hole,Standard,None
SS2.5-45J25,S45C,2.5,45,112.5,25 keyway&screw hole,Standard,None
SS2.5-45J28,S45C,2.5,45,112.5,28 keyway&screw hole,Standard,None
SS2.5-45J30,S45C,2.5,45,112.5,30 keyway&screw hole,Standard,None
SS2.5-45J32,S45C,2.5,45,112.5,32 keyway&screw hole,Standard,None
SS2.5-45J35,S45C,2.5,45,112.5,35 keyway&screw hole,Standard,None
SS2.5-45J40,S45C,2.5,45,112.5,40 keyway&screw hole,Standard,None
SS2.5-46J20,S45C,2.5,46,115,20 keyway&screw hole,Standard,None
SS2.5-46J22,S45C,2.5,46,115,22 keyway&screw hole,Standard,None
SS2.5-46J25,S45C,2.5,46,115,25 keyway&screw hole,Standard,None
SS2.5-46J28,S45C,2.5,46,115,28 keyway&screw hole,Standard,None
SS2.5-46J30,S45C,2.5,46,115,30 keyway&screw hole,Standard,None
SS2.5-46J32,S45C,2.5,46,115,32 keyway&screw hole,Standard,None
SS2.5-46J35,S45C,2.5,46,115,35 keyway&screw hole,Standard,None
SS2.5-46J40,S45C,2.5,46,115,40 keyway&screw hole,Standard,None
SS2.5-48J20,S45C,2.5,48,120,20 keyway&screw hole,Standard,None
SS2.5-48J22,S45C,2.5,48,120,22 keyway&screw hole,Standard,None
SS2.5-48J25,S45C,2.5,48,120,25 keyway&screw hole,Standard,None
SS2.5-48J28,S45C,2.5,48,120,28 keyway&screw hole,Standard,None
SS2.5-48J30,S45C,2.5,48,120,30 keyway&screw hole,Standard,None
SS2.5-48J32,S45C,2.5,48,120,32 keyway&screw hole,Standard,None
SS2.5-48J35,S45C,2.5,48,120,35 keyway&screw hole,Standard,None
SS2.5-48J40,S45C,2.5,48,120,40 keyway&screw hole,Standard,None
SS2.5-50J20,S45C,2.5,50,125,20 keyway&screw hole,Standard,None
SS2.5-50J22,S45C,2.5,50,125,22 keyway&screw hole,Standard,None
SS2.5-50J25,S45C,2.5,50,125,25 keyway&screw hole,Standard,None
SS2.5-50J28,S45C,2.5,50,125,28 keyway&screw hole,Standard,None
SS2.5-50J30,S45C,2.5,50,125,30 keyway&screw hole,Standard,None
SS2.5-50J32,S45C,2.5,50,125,32 keyway&screw hole,Standard,None
SS2.5-50J35,S45C,2.5,50,125,35 keyway&screw hole,Standard,None
SS2.5-50J40,S45C,2.5,50,125,40 keyway&screw hole,Standard,None
SS2.5-52J20,S45C,2.5,52,130,20 keyway&screw hole,Standard,None
SS2.5-52J22,S45C,2.5,52,130,22 keyway&screw hole,Standard,None
SS2.5-52J25,S45C,2.5,52,130,25 keyway&screw hole,Standard,None
SS2.5-52J28,S45C,2.5,52,130,28 keyway&screw hole,Standard,None
SS2.5-52J30,S45C,2.5,52,130,30 keyway&screw hole,Standard,None
SS2.5-52J32,S45C,2.5,52,130,32 keyway&screw hole,Standard,None
SS2.5-52J35,S45C,2.5,52,130,35 keyway&screw hole,Standard,None
SS2.5-52J40,S45C,2.5,52,130,40 keyway&screw hole,Standard,None
SS2.5-54J20,S45C,2.5,54,135,20 keyway&screw hole,Standard,None
SS2.5-54J22,S45C,2.5,54,135,22 keyway&screw hole,Standard,None
SS2.5-54J25,S45C,2.5,54,135,25 keyway&screw hole,Standard,None
SS2.5-54J28,S45C,2.5,54,135,28 keyway&screw hole,Standard,None
SS2.5-54J30,S45C,2.5,54,135,30 keyway&screw hole,Standard,None
SS2.5-54J32,S45C,2.5,54,135,32 keyway&screw hole,Standard,None
SS2.5-54J35,S45C,2.5,54,135,35 keyway&screw hole,Standard,None
SS2.5-54J40,S45C,2.5,54,135,40 keyway&screw hole,Standard,None
SS2.5-55J20,S45C,2.5,55,137.5,20 keyway&screw hole,Standard,None
SS2.5-55J22,S45C,2.5,55,137.5,22 keyway&screw hole,Standard,None
SS2.5-55J25,S45C,2.5,55,137.5,25 keyway&screw hole,Standard,None
SS2.5-55J28,S45C,2.5,55,137.5,28 keyway&screw hole,Standard,None
SS2.5-55J30,S45C,2.5,55,137.5,30 keyway&screw hole,Standard,None
SS2.5-55J32,S45C,2.5,55,137.5,32 keyway&screw hole,Standard,None
SS2.5-55J35,S45C,2.5,55,137.5,35 keyway&screw hole,Standard,None
SS2.5-55J40,S45C,2.5,55,137.5,40 keyway&screw hole,Standard,None
SS2.5-56J20,S45C,2.5,56,140,20 keyway&screw hole,Standard,None
SS2.5-56J22,S45C,2.5,56,140,22 keyway&screw hole,Standard,None
SS2.5-56J25,S45C,2.5,56,140,25 keyway&screw hole,Standard,None
SS2.5-56J28,S45C,2.5,56,140,28 keyway&screw hole,Standard,None
SS2.5-56J30,S45C,2.5,56,140,30 keyway&screw hole,Standard,None
SS2.5-56J32,S45C,2.5,56,140,32 keyway&screw hole,Standard,None
SS2.5-56J35,S45C,2.5,56,140,35 keyway&screw hole,Standard,None
SS2.5-56J40,S45C,2.5,56,140,40 keyway&screw hole,Standard,None
SS2.5-58J20,S45C,2.5,58,145,20 keyway&screw hole,Standard,None
SS2.5-58J22,S45C,2.5,58,145,22 keyway&screw hole,Standard,None
SS2.5-58J25,S45C,2.5,58,145,25 keyway&screw hole,Standard,None
SS2.5-58J28,S45C,2.5,58,145,28 keyway&screw hole,Standard,None
SS2.5-58J30,S45C,2.5,58,145,30 keyway&screw hole,Standard,None
SS2.5-58J32,S45C,2.5,58,145,32 keyway&screw hole,Standard,None
SS2.5-58J35,S45C,2.5,58,145,35 keyway&screw hole,Standard,None
SS2.5-58J40,S45C,2.5,58,145,40 keyway&screw hole,Standard,None
SS2.5-60J25,S45C,2.5,60,150,25 keyway&screw hole,Standard,None
SS2.5-60J28,S45C,2.5,60,150,28 keyway&screw hole,Standard,None
SS2.5-60J30,S45C,2.5,60,150,30 keyway&screw hole,Standard,None
SS2.5-60J32,S45C,2.5,60,150,32 keyway&screw hole,Standard,None
SS2.5-60J35,S45C,2.5,60,150,35 keyway&screw hole,Standard,None
SS2.5-60J40,S45C,2.5,60,150,40 keyway&screw hole,Standard,None
SS2.5-62J25,S45C,2.5,62,155,25 keyway&screw hole,Standard,None
SS2.5-62J28,S45C,2.5,62,155,28 keyway&screw hole,Standard,None
SS2.5-62J30,S45C,2.5,62,155,30 keyway&screw hole,Standard,None
SS2.5-62J32,S45C,2.5,62,155,32 keyway&screw hole,Standard,None
SS2.5-62J35,S45C,2.5,62,155,35 keyway&screw hole,Standard,None
SS2.5-62J40,S45C,2.5,62,155,40 keyway&screw hole,Standard,None
SS2.5-64J25,S45C,2.5,64,160,25 keyway&screw hole,Standard,None
SS2.5-64J28,S45C,2.5,64,160,28 keyway&screw hole,Standard,None
SS2.5-64J30,S45C,2.5,64,160,30 keyway&screw hole,Standard,None
SS2.5-64J32,S45C,2.5,64,160,32 keyway&screw hole,Standard,None
SS2.5-64J35,S45C,2.5,64,160,35 keyway&screw hole,Standard,None
SS2.5-64J40,S45C,2.5,64,160,40 keyway&screw hole,Standard,None
SS2.5-65J25,S45C,2.5,65,162.5,25 keyway&screw hole,Standard,None
SS2.5-65J28,S45C,2.5,65,162.5,28 keyway&screw hole,Standard,None
SS2.5-65J30,S45C,2.5,65,162.5,30 keyway&screw hole,Standard,None
SS2.5-65J32,S45C,2.5,65,162.5,32 keyway&screw hole,Standard,None
SS2.5-65J35,S45C,2.5,65,162.5,35 keyway&screw hole,Standard,None
SS2.5-65J40,S45C,2.5,65,162.5,40 keyway&screw hole,Standard,None
SS2.5-66J25,S45C,2.5,66,165,25 keyway&screw hole,Standard,None
SS2.5-66J28,S45C,2.5,66,165,28 keyway&screw hole,Standard,None
SS2.5-66J30,S45C,2.5,66,165,30 keyway&screw hole,Standard,None
SS2.5-66J32,S45C,2.5,66,165,32 keyway&screw hole,Standard,None
SS2.5-66J35,S45C,2.5,66,165,35 keyway&screw hole,Standard,None
SS2.5-66J40,S45C,2.5,66,165,40 keyway&screw hole,Standard,None
SS2.5-68J25,S45C,2.5,68,170,25 keyway&screw hole,Standard,None
SS2.5-68J28,S45C,2.5,68,170,28 keyway&screw hole,Standard,None
SS2.5-68J30,S45C,2.5,68,170,30 keyway&screw hole,Standard,None
SS2.5-68J32,S45C,2.5,68,170,32 keyway&screw hole,Standard,None
SS2.5-68J35,S45C,2.5,68,170,35 keyway&screw hole,Standard,None
SS2.5-68J40,S45C,2.5,68,170,40 keyway&screw hole,Standard,None
SS2.5-70J25,S45C,2.5,70,175,25 keyway&screw hole,Standard,None
SS2.5-70J28,S45C,2.5,70,175,28 keyway&screw hole,Standard,None
SS2.5-70J30,S45C,2.5,70,175,30 keyway&screw hole,Standard,None
SS2.5-70J32,S45C,2.5,70,175,32 keyway&screw hole,Standard,None
SS2.5-70J35,S45C,2.5,70,175,35 keyway&screw hole,Standard,None
SS2.5-70J40,S45C,2.5,70,175,40 keyway&screw hole,Standard,None
SS2.5-72J25,S45C,2.5,72,180,25 keyway&screw hole,Standard,None
SS2.5-72J28,S45C,2.5,72,180,28 keyway&screw hole,Standard,None
SS2.5-72J30,S45C,2.5,72,180,30 keyway&screw hole,Standard,None
SS2.5-72J32,S45C,2.5,72,180,32 keyway&screw hole,Standard,None
SS2.5-72J35,S45C,2.5,72,180,35 keyway&screw hole,Standard,None
SS2.5-72J40,S45C,2.5,72,180,40 keyway&screw hole,Standard,None
SS2.5-75J25,S45C,2.5,75,187.5,25 keyway&screw hole,Standard,None
SS2.5-75J28,S45C,2.5,75,187.5,28 keyway&screw hole,Standard,None
SS2.5-75J30,S45C,2.5,75,187.5,30 keyway&screw hole,Standard,None
SS2.5-75J32,S45C,2.5,75,187.5,32 keyway&screw hole,Standard,None
SS2.5-75J35,S45C,2.5,75,187.5,35 keyway&screw hole,Standard,None
SS2.5-75J40,S45C,2.5,75,187.5,40 keyway&screw hole,Standard,None
SS2.5-76J25,S45C,2.5,76,190,25 keyway&screw hole,Standard,None
SS2.5-76J28,S45C,2.5,76,190,28 keyway&screw hole,Standard,None
SS2.5-76J30,S45C,2.5,76,190,30 keyway&screw hole,Standard,None
SS2.5-76J32,S45C,2.5,76,190,32 keyway&screw hole,Standard,None
SS2.5-76J35,S45C,2.5,76,190,35 keyway&screw hole,Standard,None
SS2.5-76J40,S45C,2.5,76,190,40 keyway&screw hole,Standard,None
SS2.5-80J25,S45C,2.5,80,200,25 keyway&screw hole,Standard,None
SS2.5-80J28,S45C,2.5,80,200,28 keyway&screw hole,Standard,None
SS2.5-80J30,S45C,2.5,80,200,30 keyway&screw hole,Standard,None
SS2.5-80J32,S45C,2.5,80,200,32 keyway&screw hole,Standard,None
SS2.5-80J35,S45C,2.5,80,200,35 keyway&screw hole,Standard,None
SS2.5-80J40,S45C,2.5,80,200,40 keyway&screw hole,Standard,None
SS2.5-90J30,S45C,2.5,90,225,30 keyway&screw hole,Standard,None
SS2.5-90J32,S45C,2.5,90,225,32 keyway&screw hole,Standard,None
SS2.5-90J35,S45C,2.5,90,225,35 keyway&screw hole,Standard,None
SS2.5-90J40,S45C,2.5,90,225,40 keyway&screw hole,Standard,None
SS3-100J30,S45C,3,100,300,30 keyway&screw hole,Standard,None
SS3-100J32,S45C,3,100,300,32 keyway&screw hole,Standard,None
SS3-100J35,S45C,3,100,300,35 keyway&screw hole,Standard,None
SS3-100J40,S45C,3,100,300,40 keyway&screw hole,Standard,None
SS3-100J45,S45C,3,100,300,45 keyway&screw hole,Standard,None
SS3-100J50,S45C,3,100,300,50 keyway&screw hole,Standard,None
SS3-120J30,S45C,3,120,360,30 keyway&screw hole,Standard,None
SS3-120J32,S45C,3,120,360,32 keyway&screw hole,Standard,None
SS3-120J35,S45C,3,120,360,35 keyway&screw hole,Standard,None
SS3-120J40,S45C,3,120,360,40 keyway&screw hole,Standard,None
SS3-120J45,S45C,3,120,360,45 keyway&screw hole,Standard,None
SS3-120J50,S45C,3,120,360,50 keyway&screw hole,Standard,None
SS3-14J15,S45C,3,14,42,15 keyway&screw hole,Standard,None
SS3-14J16,S45C,3,14,42,16 keyway&screw hole,Standard,None
SS3-14J17,S45C,3,14,42,17 keyway&screw hole,Standard,None
SS3-15J15,S45C,3,15,45,15 keyway&screw hole,Standard,None
SS3-15J16,S45C,3,15,45,16 keyway&screw hole,Standard,None
SS3-15J17,S45C,3,15,45,17 keyway&screw hole,Standard,None
SS3-15J18,S45C,3,15,45,18 keyway&screw hole,Standard,None
