Catalogue.Number,Material,Module,Teeth.Count,Pitch.Diameter..mm.,Bore.Diameter..mm.,Face.Width..cm.,Tooth.Finish,Heat.Treatment,Lewis.Form.Factor,set.screw,keyway,Torque,Weight
SSA2-28J16,S45C,2,28,56,16,2,Standard,None,0.352,0,1,73.92,0.354
SSA2-28J17,S45C,2,28,56,17,2,Standard,None,0.352,0,1,73.92,0.349
SSA2-28J18,S45C,2,28,56,18,2,Standard,None,0.352,0,1,73.92,0.344
SSA2-28J19,S45C,2,28,56,19,2,Standard,None,0.352,0,1,73.92,0.34
SSA2-28J20,S45C,2,28,56,20,2,Standard,None,0.352,0,1,73.92,0.335
SSA2-28J22,S45C,2,28,56,22,2,Standard,None,0.352,0,1,73.92,0.325
SSA2-28J25,S45C,2,28,56,25,2,Standard,None,0.352,0,1,73.92,0.306
SSA2-30J15,S45C,2,30,60,15,2,Standard,None,0.358,0,1,81.12,0.415
SSA2-30J16,S45C,2,30,60,16,2,Standard,None,0.358,0,1,81.12,0.411
SSA2-30J17,S45C,2,30,60,17,2,Standard,None,0.358,0,1,81.12,0.407
SSA2-30J18,S45C,2,30,60,18,2,Standard,None,0.358,0,1,81.12,0.402
SSA2-30J19,S45C,2,30,60,19,2,Standard,None,0.358,0,1,81.12,0.397
SSA2-30J20,S45C,2,30,60,20,2,Standard,None,0.358,0,1,81.12,0.392
SSA2-30J22,S45C,2,30,60,22,2,Standard,None,0.358,0,1,81.12,0.382
SSA2-30J25,S45C,2,30,60,25,2,Standard,None,0.358,0,1,81.12,0.363
SSA2-32J15,S45C,2,32,64,15,2,Standard,None,0.364,0,1,88.39,0.476
SSA2-32J16,S45C,2,32,64,16,2,Standard,None,0.364,0,1,88.39,0.472
SSA2-32J17,S45C,2,32,64,17,2,Standard,None,0.364,0,1,88.39,0.468
SSA2-32J18,S45C,2,32,64,18,2,Standard,None,0.364,0,1,88.39,0.463
SSA2-32J19,S45C,2,32,64,19,2,Standard,None,0.364,0,1,88.39,0.458
SSA2-32J20,S45C,2,32,64,20,2,Standard,None,0.364,0,1,88.39,0.453
SSA2-32J22,S45C,2,32,64,22,2,Standard,None,0.364,0,1,88.39,0.443
SSA2-32J25,S45C,2,32,64,25,2,Standard,None,0.364,0,1,88.39,0.424
SSA2-32J28,S45C,2,32,64,28,2,Standard,None,0.364,0,1,88.39,0.405
SSA2-35J15,S45C,2,35,70,15,2,Standard,None,0.37,0,1,99.34,0.575
SSA2-35J16,S45C,2,35,70,16,2,Standard,None,0.37,0,1,99.34,0.571
SSA2-35J17,S45C,2,35,70,17,2,Standard,None,0.37,0,1,99.34,0.567
SSA2-35J18,S45C,2,35,70,18,2,Standard,None,0.37,0,1,99.34,0.562
SSA2-35J19,S45C,2,35,70,19,2,Standard,None,0.37,0,1,99.34,0.557
SSA2-35J20,S45C,2,35,70,20,2,Standard,None,0.37,0,1,99.34,0.553
SSA2-35J22,S45C,2,35,70,22,2,Standard,None,0.37,0,1,99.34,0.542
SSA2-35J25,S45C,2,35,70,25,2,Standard,None,0.37,0,1,99.34,0.524
SSA2-35J28,S45C,2,35,70,28,2,Standard,None,0.37,0,1,99.34,0.504
SSA2-35J30,S45C,2,35,70,30,2,Standard,None,0.37,0,1,99.34,0.49
SSA2-35J32,S45C,2,35,70,32,2,Standard,None,0.37,0,1,99.34,0.474
SSA2-36J15,S45C,2,36,72,15,2,Standard,None,0.377,0,1,103.07,0.61
SSA2-36J16,S45C,2,36,72,16,2,Standard,None,0.377,0,1,103.07,0.606
SSA2-36J17,S45C,2,36,72,17,2,Standard,None,0.377,0,1,103.07,0.602
SSA2-36J18,S45C,2,36,72,18,2,Standard,None,0.377,0,1,103.07,0.597
SSA2-36J19,S45C,2,36,72,19,2,Standard,None,0.377,0,1,103.07,0.592
SSA2-36J20,S45C,2,36,72,20,2,Standard,None,0.377,0,1,103.07,0.588
SSA2-36J22,S45C,2,36,72,22,2,Standard,None,0.377,0,1,103.07,0.577
SSA2-36J25,S45C,2,36,72,25,2,Standard,None,0.377,0,1,103.07,0.559
SSA2-36J28,S45C,2,36,72,28,2,Standard,None,0.377,0,1,103.07,0.539
SSA2-36J30,S45C,2,36,72,30,2,Standard,None,0.377,0,1,103.07,0.525
SSA2-36J32,S45C,2,36,72,32,2,Standard,None,0.377,0,1,103.07,0.509
SSA2-40J18,S45C,2,40,80,18,2,Standard,None,0.389,0,1,117.88,0.747
SSA2-40J19,S45C,2,40,80,19,2,Standard,None,0.389,0,1,117.88,0.742
SSA2-40J20,S45C,2,40,80,20,2,Standard,None,0.389,0,1,117.88,0.737
SSA2-40J22,S45C,2,40,80,22,2,Standard,None,0.389,0,1,117.88,0.727
SSA2-40J25,S45C,2,40,80,25,2,Standard,None,0.389,0,1,117.88,0.709
SSA2-40J28,S45C,2,40,80,28,2,Standard,None,0.389,0,1,117.88,0.689
SSA2-40J30,S45C,2,40,80,30,2,Standard,None,0.389,0,1,117.88,0.675
SSA2-40J32,S45C,2,40,80,32,2,Standard,None,0.389,0,1,117.88,0.659
SSA2-40J35,S45C,2,40,80,35,2,Standard,None,0.389,0,1,117.88,0.634
SSA2-45J18,S45C,2,45,90,18,2,Standard,None,0.399,0,1,136.71,0.957
SSA2-45J19,S45C,2,45,90,19,2,Standard,None,0.399,0,1,136.71,0.952
SSA2-45J20,S45C,2,45,90,20,2,Standard,None,0.399,0,1,136.71,0.947
SSA2-45J22,S45C,2,45,90,22,2,Standard,None,0.399,0,1,136.71,0.937
SSA2-45J25,S45C,2,45,90,25,2,Standard,None,0.399,0,1,136.71,0.918
SSA2-45J28,S45C,2,45,90,28,2,Standard,None,0.399,0,1,136.71,0.898
SSA2-45J30,S45C,2,45,90,30,2,Standard,None,0.399,0,1,136.71,0.884
SSA2-45J32,S45C,2,45,90,32,2,Standard,None,0.399,0,1,136.71,0.868
SSA2-45J35,S45C,2,45,90,35,2,Standard,None,0.399,0,1,136.71,0.843
SSA2-45J40,S45C,2,45,90,40,2,Standard,None,0.399,0,1,136.71,0.796
SSA2-48J18,S45C,2,48,96,18,2,Standard,None,0.399,0,1,147.98,1.094
SSA2-48J19,S45C,2,48,96,19,2,Standard,None,0.399,0,1,147.98,1.09
SSA2-48J20,S45C,2,48,96,20,2,Standard,None,0.399,0,1,147.98,1.085
SSA2-48J22,S45C,2,48,96,22,2,Standard,None,0.399,0,1,147.98,1.074
SSA2-48J25,S45C,2,48,96,25,2,Standard,None,0.399,0,1,147.98,1.056
SSA2-48J28,S45C,2,48,96,28,2,Standard,None,0.399,0,1,147.98,1.036
SSA2-48J30,S45C,2,48,96,30,2,Standard,None,0.399,0,1,147.98,1.022
SSA2-48J32,S45C,2,48,96,32,2,Standard,None,0.399,0,1,147.98,1.006
SSA2-48J35,S45C,2,48,96,35,2,Standard,None,0.399,0,1,147.98,0.981
SSA2-48J40,S45C,2,48,96,40,2,Standard,None,0.399,0,1,147.98,0.934
SSA2-48J45,S45C,2,48,96,45,2,Standard,None,0.399,0,1,147.98,0.88
SSA2-50J18,S45C,2,50,100,18,2,Standard,None,0.408,0,1,155.63,1.191
SSA2-50J19,S45C,2,50,100,19,2,Standard,None,0.408,0,1,155.63,1.186
SSA2-50J20,S45C,2,50,100,20,2,Standard,None,0.408,0,1,155.63,1.181
SSA2-50J22,S45C,2,50,100,22,2,Standard,None,0.408,0,1,155.63,1.171
SSA2-50J25,S45C,2,50,100,25,2,Standard,None,0.408,0,1,155.63,1.152
SSA2-50J28,S45C,2,50,100,28,2,Standard,None,0.408,0,1,155.63,1.133
SSA2-50J30,S45C,2,50,100,30,2,Standard,None,0.408,0,1,155.63,1.118
SSA2-50J32,S45C,2,50,100,32,2,Standard,None,0.408,0,1,155.63,1.102
SSA2-50J35,S45C,2,50,100,35,2,Standard,None,0.408,0,1,155.63,1.078
SSA2-50J40,S45C,2,50,100,40,2,Standard,None,0.408,0,1,155.63,1.031
SSA2-50J45,S45C,2,50,100,45,2,Standard,None,0.408,0,1,155.63,0.977
SSA2-55J18,S45C,2,55,110,18,2,Standard,None,0.415,0,1,174.66,1.45
SSA2-55J19,S45C,2,55,110,19,2,Standard,None,0.415,0,1,174.66,1.445
SSA2-55J20,S45C,2,55,110,20,2,Standard,None,0.415,0,1,174.66,1.44
SSA2-55J22,S45C,2,55,110,22,2,Standard,None,0.415,0,1,174.66,1.43
SSA2-55J25,S45C,2,55,110,25,2,Standard,None,0.415,0,1,174.66,1.411
SSA2-55J28,S45C,2,55,110,28,2,Standard,None,0.415,0,1,174.66,1.392
SSA2-55J30,S45C,2,55,110,30,2,Standard,None,0.415,0,1,174.66,1.377
SSA2-55J32,S45C,2,55,110,32,2,Standard,None,0.415,0,1,174.66,1.361
SSA2-55J35,S45C,2,55,110,35,2,Standard,None,0.415,0,1,174.66,1.337
SSA2-55J40,S45C,2,55,110,40,2,Standard,None,0.415,0,1,174.66,1.29
SSA2-55J45,S45C,2,55,110,45,2,Standard,None,0.415,0,1,174.66,1.236
SSA2-55J50,S45C,2,55,110,50,2,Standard,None,0.415,0,1,174.66,1.177
SSA2-56J18,S45C,2,56,112,18,2,Standard,None,0.415,0,1,178.48,1.505
SSA2-56J19,S45C,2,56,112,19,2,Standard,None,0.415,0,1,178.48,1.5
SSA2-56J20,S45C,2,56,112,20,2,Standard,None,0.415,0,1,178.48,1.495
SSA2-56J22,S45C,2,56,112,22,2,Standard,None,0.415,0,1,178.48,1.485
SSA2-56J25,S45C,2,56,112,25,2,Standard,None,0.415,0,1,178.48,1.466
SSA2-56J28,S45C,2,56,112,28,2,Standard,None,0.415,0,1,178.48,1.446
SSA2-56J30,S45C,2,56,112,30,2,Standard,None,0.415,0,1,178.48,1.432
SSA2-56J32,S45C,2,56,112,32,2,Standard,None,0.415,0,1,178.48,1.416
SSA2-56J35,S45C,2,56,112,35,2,Standard,None,0.415,0,1,178.48,1.391
SSA2-56J40,S45C,2,56,112,40,2,Standard,None,0.415,0,1,178.48,1.344
SSA2-56J45,S45C,2,56,112,45,2,Standard,None,0.415,0,1,178.48,1.29
SSA2-56J50,S45C,2,56,112,50,2,Standard,None,0.415,0,1,178.48,1.232
SSA2-60J18,S45C,2,60,120,18,2,Standard,None,0.421,0,1,193.78,1.733
SSA2-60J19,S45C,2,60,120,19,2,Standard,None,0.421,0,1,193.78,1.729
SSA2-60J20,S45C,2,60,120,20,2,Standard,None,0.421,0,1,193.78,1.724
SSA2-60J22,S45C,2,60,120,22,2,Standard,None,0.421,0,1,193.78,1.714
SSA2-60J25,S45C,2,60,120,25,2,Standard,None,0.421,0,1,193.78,1.695
SSA2-60J28,S45C,2,60,120,28,2,Standard,None,0.421,0,1,193.78,1.675
SSA2-60J30,S45C,2,60,120,30,2,Standard,None,0.421,0,1,193.78,1.661
SSA2-60J32,S45C,2,60,120,32,2,Standard,None,0.421,0,1,193.78,1.645
SSA2-60J35,S45C,2,60,120,35,2,Standard,None,0.421,0,1,193.78,1.62
SSA2-60J40,S45C,2,60,120,40,2,Standard,None,0.421,0,1,193.78,1.573
SSA2-60J45,S45C,2,60,120,45,2,Standard,None,0.421,0,1,193.78,1.519
SSA2-60J50,S45C,2,60,120,50,2,Standard,None,0.421,0,1,193.78,1.46
SSA2-70J18,S45C,2,70,140,18,2,Standard,None,0.429,0,1,232.42,2.375
SSA2-70J19,S45C,2,70,140,19,2,Standard,None,0.429,0,1,232.42,2.37
SSA2-70J20,S45C,2,70,140,20,2,Standard,None,0.429,0,1,232.42,2.365
SSA2-70J22,S45C,2,70,140,22,2,Standard,None,0.429,0,1,232.42,2.355
SSA2-70J25,S45C,2,70,140,25,2,Standard,None,0.429,0,1,232.42,2.336
SSA2-70J28,S45C,2,70,140,28,2,Standard,None,0.429,0,1,232.42,2.317
SSA2-70J30,S45C,2,70,140,30,2,Standard,None,0.429,0,1,232.42,2.302
SSA2-70J32,S45C,2,70,140,32,2,Standard,None,0.429,0,1,232.42,2.286
SSA2-70J35,S45C,2,70,140,35,2,Standard,None,0.429,0,1,232.42,2.261
SSA2-70J40,S45C,2,70,140,40,2,Standard,None,0.429,0,1,232.42,2.214
SSA2-70J45,S45C,2,70,140,45,2,Standard,None,0.429,0,1,232.42,2.16
SSA2-70J50,S45C,2,70,140,50,2,Standard,None,0.429,0,1,232.42,2.102
SSA2.5-15J12,S45C,2.5,15,37.5,12,2.5,Standard,None,0.289,0,1,57.73,0.193
SSA2.5-15J14,S45C,2.5,15,37.5,14,2.5,Standard,None,0.289,0,1,57.73,0.185
SSA2.5-15J15,S45C,2.5,15,37.5,15,2.5,Standard,None,0.289,0,1,57.73,0.18
SSA2.5-18J12,S45C,2.5,18,45,12,2.5,Standard,None,0.308,0,1,76.72,0.289
SSA2.5-18J14,S45C,2.5,18,45,14,2.5,Standard,None,0.308,0,1,76.72,0.28
SSA2.5-18J15,S45C,2.5,18,45,15,2.5,Standard,None,0.308,0,1,76.72,0.275
SSA2.5-18J16,S45C,2.5,18,45,16,2.5,Standard,None,0.308,0,1,76.72,0.271
SSA2.5-18J17,S45C,2.5,18,45,17,2.5,Standard,None,0.308,0,1,76.72,0.266
SSA2.5-18J18,S45C,2.5,18,45,18,2.5,Standard,None,0.308,0,1,76.72,0.259
SSA2.5-18J19,S45C,2.5,18,45,19,2.5,Standard,None,0.308,0,1,76.72,0.254
SSA2.5-20J15,S45C,2.5,20,50,15,2.5,Standard,None,0.32,0,1,89.79,0.349
SSA2.5-20J16,S45C,2.5,20,50,16,2.5,Standard,None,0.32,0,1,89.79,0.344
SSA2.5-20J17,S45C,2.5,20,50,17,2.5,Standard,None,0.32,0,1,89.79,0.339
SSA2.5-20J18,S45C,2.5,20,50,18,2.5,Standard,None,0.32,0,1,89.79,0.333
SSA2.5-20J19,S45C,2.5,20,50,19,2.5,Standard,None,0.32,0,1,89.79,0.327
SSA2.5-20J20,S45C,2.5,20,50,20,2.5,Standard,None,0.32,0,1,89.79,0.321
SSA2.5-24J15,S45C,2.5,24,60,15,2.5,Standard,None,0.337,0,1,116.7,0.518
SSA2.5-24J16,S45C,2.5,24,60,16,2.5,Standard,None,0.337,0,1,116.7,0.513
SSA2.5-24J17,S45C,2.5,24,60,17,2.5,Standard,None,0.337,0,1,116.7,0.508
SSA2.5-24J18,S45C,2.5,24,60,18,2.5,Standard,None,0.337,0,1,116.7,0.502
SSA2.5-24J19,S45C,2.5,24,60,19,2.5,Standard,None,0.337,0,1,116.7,0.496
SSA2.5-24J20,S45C,2.5,24,60,20,2.5,Standard,None,0.337,0,1,116.7,0.49
SSA2.5-24J22,S45C,2.5,24,60,22,2.5,Standard,None,0.337,0,1,116.7,0.477
SSA2.5-24J25,S45C,2.5,24,60,25,2.5,Standard,None,0.337,0,1,116.7,0.454
SSA2.5-25J15,S45C,2.5,25,62.5,15,2.5,Standard,None,0.337,0,1,123.56,0.565
SSA2.5-25J16,S45C,2.5,25,62.5,16,2.5,Standard,None,0.337,0,1,123.56,0.561
SSA2.5-25J17,S45C,2.5,25,62.5,17,2.5,Standard,None,0.337,0,1,123.56,0.556
SSA2.5-25J18,S45C,2.5,25,62.5,18,2.5,Standard,None,0.337,0,1,123.56,0.549
SSA2.5-25J19,S45C,2.5,25,62.5,19,2.5,Standard,None,0.337,0,1,123.56,0.544
SSA2.5-25J20,S45C,2.5,25,62.5,20,2.5,Standard,None,0.337,0,1,123.56,0.537
SSA2.5-25J22,S45C,2.5,25,62.5,22,2.5,Standard,None,0.337,0,1,123.56,0.525
SSA2.5-25J25,S45C,2.5,25,62.5,25,2.5,Standard,None,0.337,0,1,123.56,0.501
SSA2.5-25J28,S45C,2.5,25,62.5,28,2.5,Standard,None,0.337,0,1,123.56,0.477
SSA2.5-28J18,S45C,2.5,28,70,18,2.5,Standard,None,0.352,0,1,144.35,0.702
SSA2.5-28J19,S45C,2.5,28,70,19,2.5,Standard,None,0.352,0,1,144.35,0.697
SSA2.5-28J20,S45C,2.5,28,70,20,2.5,Standard,None,0.352,0,1,144.35,0.691
SSA2.5-28J22,S45C,2.5,28,70,22,2.5,Standard,None,0.352,0,1,144.35,0.678
SSA2.5-28J25,S45C,2.5,28,70,25,2.5,Standard,None,0.352,0,1,144.35,0.654
SSA2.5-28J28,S45C,2.5,28,70,28,2.5,Standard,None,0.352,0,1,144.35,0.63
SSA2.5-28J30,S45C,2.5,28,70,30,2.5,Standard,None,0.352,0,1,144.35,0.612
SSA2.5-30J18,S45C,2.5,30,75,18,2.5,Standard,None,0.358,0,1,158.48,0.814
SSA2.5-30J19,S45C,2.5,30,75,19,2.5,Standard,None,0.358,0,1,158.48,0.808
SSA2.5-30J20,S45C,2.5,30,75,20,2.5,Standard,None,0.358,0,1,158.48,0.802
SSA2.5-30J22,S45C,2.5,30,75,22,2.5,Standard,None,0.358,0,1,158.48,0.789
SSA2.5-30J25,S45C,2.5,30,75,25,2.5,Standard,None,0.358,0,1,158.48,0.766
SSA2.5-30J28,S45C,2.5,30,75,28,2.5,Standard,None,0.358,0,1,158.48,0.742
SSA2.5-30J30,S45C,2.5,30,75,30,2.5,Standard,None,0.358,0,1,158.48,0.724
SSA2.5-30J32,S45C,2.5,30,75,32,2.5,Standard,None,0.358,0,1,158.48,0.704
SSA2.5-32J18,S45C,2.5,32,80,18,2.5,Standard,None,0.364,0,1,172.6,0.934
SSA2.5-32J19,S45C,2.5,32,80,19,2.5,Standard,None,0.364,0,1,172.6,0.928
SSA2.5-32J20,S45C,2.5,32,80,20,2.5,Standard,None,0.364,0,1,172.6,0.922
SSA2.5-32J22,S45C,2.5,32,80,22,2.5,Standard,None,0.364,0,1,172.6,0.909
SSA2.5-32J25,S45C,2.5,32,80,25,2.5,Standard,None,0.364,0,1,172.6,0.886
SSA2.5-32J28,S45C,2.5,32,80,28,2.5,Standard,None,0.364,0,1,172.6,0.861
SSA2.5-32J30,S45C,2.5,32,80,30,2.5,Standard,None,0.364,0,1,172.6,0.843
SSA2.5-32J32,S45C,2.5,32,80,32,2.5,Standard,None,0.364,0,1,172.6,0.823
SSA2.5-32J35,S45C,2.5,32,80,35,2.5,Standard,None,0.364,0,1,172.6,0.792
SSA2.5-35J18,S45C,2.5,35,87.5,18,2.5,Standard,None,0.37,0,1,194.07,1.127
SSA2.5-35J19,S45C,2.5,35,87.5,19,2.5,Standard,None,0.37,0,1,194.07,1.122
SSA2.5-35J20,S45C,2.5,35,87.5,20,2.5,Standard,None,0.37,0,1,194.07,1.116
SSA2.5-35J22,S45C,2.5,35,87.5,22,2.5,Standard,None,0.37,0,1,194.07,1.103
SSA2.5-35J25,S45C,2.5,35,87.5,25,2.5,Standard,None,0.37,0,1,194.07,1.079
SSA2.5-35J28,S45C,2.5,35,87.5,28,2.5,Standard,None,0.37,0,1,194.07,1.055
SSA2.5-35J30,S45C,2.5,35,87.5,30,2.5,Standard,None,0.37,0,1,194.07,1.037
SSA2.5-35J32,S45C,2.5,35,87.5,32,2.5,Standard,None,0.37,0,1,194.07,1.017
SSA2.5-35J35,S45C,2.5,35,87.5,35,2.5,Standard,None,0.37,0,1,194.07,0.986
SSA2.5-35J40,S45C,2.5,35,87.5,40,2.5,Standard,None,0.37,0,1,194.07,0.927
SSA2.5-36J18,S45C,2.5,36,90,18,2.5,Standard,None,0.377,0,1,201.33,1.196
SSA2.5-36J19,S45C,2.5,36,90,19,2.5,Standard,None,0.377,0,1,201.33,1.19
SSA2.5-36J20,S45C,2.5,36,90,20,2.5,Standard,None,0.377,0,1,201.33,1.184
SSA2.5-36J22,S45C,2.5,36,90,22,2.5,Standard,None,0.377,0,1,201.33,1.171
SSA2.5-36J25,S45C,2.5,36,90,25,2.5,Standard,None,0.377,0,1,201.33,1.148
SSA2.5-36J28,S45C,2.5,36,90,28,2.5,Standard,None,0.377,0,1,201.33,1.123
SSA2.5-36J30,S45C,2.5,36,90,30,2.5,Standard,None,0.377,0,1,201.33,1.105
SSA2.5-36J32,S45C,2.5,36,90,32,2.5,Standard,None,0.377,0,1,201.33,1.085
SSA2.5-36J35,S45C,2.5,36,90,35,2.5,Standard,None,0.377,0,1,201.33,1.054
SSA2.5-36J40,S45C,2.5,36,90,40,2.5,Standard,None,0.377,0,1,201.33,0.996
SSA2.5-40J22,S45C,2.5,40,100,22,2.5,Standard,None,0.389,0,1,230.36,1.464
SSA2.5-40J25,S45C,2.5,40,100,25,2.5,Standard,None,0.389,0,1,230.36,1.441
SSA2.5-40J28,S45C,2.5,40,100,28,2.5,Standard,None,0.389,0,1,230.36,1.416
SSA2.5-40J30,S45C,2.5,40,100,30,2.5,Standard,None,0.389,0,1,230.36,1.398
SSA2.5-40J32,S45C,2.5,40,100,32,2.5,Standard,None,0.389,0,1,230.36,1.378
SSA2.5-40J35,S45C,2.5,40,100,35,2.5,Standard,None,0.389,0,1,230.36,1.347
SSA2.5-40J40,S45C,2.5,40,100,40,2.5,Standard,None,0.389,0,1,230.36,1.288
SSA2.5-40J45,S45C,2.5,40,100,45,2.5,Standard,None,0.389,0,1,230.36,1.221
SSA2.5-45J22,S45C,2.5,45,112.5,22,2.5,Standard,None,0.399,0,1,266.94,1.873
SSA2.5-45J25,S45C,2.5,45,112.5,25,2.5,Standard,None,0.399,0,1,266.94,1.85
SSA2.5-45J28,S45C,2.5,45,112.5,28,2.5,Standard,None,0.399,0,1,266.94,1.825
SSA2.5-45J30,S45C,2.5,45,112.5,30,2.5,Standard,None,0.399,0,1,266.94,1.807
SSA2.5-45J32,S45C,2.5,45,112.5,32,2.5,Standard,None,0.399,0,1,266.94,1.788
SSA2.5-45J35,S45C,2.5,45,112.5,35,2.5,Standard,None,0.399,0,1,266.94,1.756
SSA2.5-45J40,S45C,2.5,45,112.5,40,2.5,Standard,None,0.399,0,1,266.94,1.698
SSA2.5-45J45,S45C,2.5,45,112.5,45,2.5,Standard,None,0.399,0,1,266.94,1.63
SSA2.5-45J50,S45C,2.5,45,112.5,50,2.5,Standard,None,0.399,0,1,266.94,1.557
SSA2.5-48J22,S45C,2.5,48,120,22,2.5,Standard,None,0.399,0,1,289.1,2.142
SSA2.5-48J25,S45C,2.5,48,120,25,2.5,Standard,None,0.399,0,1,289.1,2.119
SSA2.5-48J28,S45C,2.5,48,120,28,2.5,Standard,None,0.399,0,1,289.1,2.094
SSA2.5-48J30,S45C,2.5,48,120,30,2.5,Standard,None,0.399,0,1,289.1,2.076
SSA2.5-48J32,S45C,2.5,48,120,32,2.5,Standard,None,0.399,0,1,289.1,2.056
SSA2.5-48J35,S45C,2.5,48,120,35,2.5,Standard,None,0.399,0,1,289.1,2.025
SSA2.5-48J40,S45C,2.5,48,120,40,2.5,Standard,None,0.399,0,1,289.1,1.967
SSA2.5-48J45,S45C,2.5,48,120,45,2.5,Standard,None,0.399,0,1,289.1,1.899
SSA2.5-48J50,S45C,2.5,48,120,50,2.5,Standard,None,0.399,0,1,289.1,1.826
SSA2.5-50J22,S45C,2.5,50,125,22,2.5,Standard,None,0.408,0,1,303.91,2.331
SSA2.5-50J25,S45C,2.5,50,125,25,2.5,Standard,None,0.408,0,1,303.91,2.308
SSA2.5-50J28,S45C,2.5,50,125,28,2.5,Standard,None,0.408,0,1,303.91,2.283
SSA2.5-50J30,S45C,2.5,50,125,30,2.5,Standard,None,0.408,0,1,303.91,2.265
SSA2.5-50J32,S45C,2.5,50,125,32,2.5,Standard,None,0.408,0,1,303.91,2.245
SSA2.5-50J35,S45C,2.5,50,125,35,2.5,Standard,None,0.408,0,1,303.91,2.214
SSA2.5-50J40,S45C,2.5,50,125,40,2.5,Standard,None,0.408,0,1,303.91,2.155
SSA2.5-50J45,S45C,2.5,50,125,45,2.5,Standard,None,0.408,0,1,303.91,2.088
SSA2.5-50J50,S45C,2.5,50,125,50,2.5,Standard,None,0.408,0,1,303.91,2.014
SSA2.5-55J22,S45C,2.5,55,137.5,22,2.5,Standard,None,0.415,0,1,341.08,2.837
SSA2.5-55J25,S45C,2.5,55,137.5,25,2.5,Standard,None,0.415,0,1,341.08,2.813
SSA2.5-55J28,S45C,2.5,55,137.5,28,2.5,Standard,None,0.415,0,1,341.08,2.789
SSA2.5-55J30,S45C,2.5,55,137.5,30,2.5,Standard,None,0.415,0,1,341.08,2.771
SSA2.5-55J32,S45C,2.5,55,137.5,32,2.5,Standard,None,0.415,0,1,341.08,2.751
SSA2.5-55J35,S45C,2.5,55,137.5,35,2.5,Standard,None,0.415,0,1,341.08,2.72
SSA2.5-55J40,S45C,2.5,55,137.5,40,2.5,Standard,None,0.415,0,1,341.08,2.661
SSA2.5-55J45,S45C,2.5,55,137.5,45,2.5,Standard,None,0.415,0,1,341.08,2.594
SSA2.5-55J50,S45C,2.5,55,137.5,50,2.5,Standard,None,0.415,0,1,341.08,2.52
SSA2.5-56J22,S45C,2.5,56,140,22,2.5,Standard,None,0.415,0,1,348.63,2.943
SSA2.5-56J25,S45C,2.5,56,140,25,2.5,Standard,None,0.415,0,1,348.63,2.92
SSA2.5-56J28,S45C,2.5,56,140,28,2.5,Standard,None,0.415,0,1,348.63,2.896
